name,score,price
"dev",0.59733325,6699.0
"study",0.61488587,3577.0
"gaming",0.50500494,3577.0
"design",0.5169301,3577.0
"dev",0.57514596,3577.0
"study",0.5774071,2199.0
"gaming",0.4787174,2199.0
"design",0.48072374,2199.0
"dev",0.5356127,2199.0
"study",0.60827166,6099.0
"gaming",0.5161838,6099.0
"design",0.5486347,6099.0
"dev",0.6015096,6099.0
"study",0.62540287,3729.0
"gaming",0.5126473,3729.0
"design",0.5319817,3729.0
"dev",0.58932453,3729.0
"study",0.57450336,2259.0
"gaming",0.4784708,2259.0
"design",0.48019615,2259.0
"dev",0.535181,2259.0
"study",0.60499316,2879.0
"gaming",0.5037336,2879.0
"design",0.5138869,2879.0
"dev",0.5706736,2879.0
"study",0.6586503,7590.0
"gaming",0.5202898,7590.0
"design",0.5505556,7590.0
"dev",0.62016785,7590.0
"study",0.6361049,3599.0
"gaming",0.5139874,3599.0
"design",0.53517187,3599.0
"dev",0.59391713,3599.0
"study",0.60826576,3390.0
"gaming",0.5039269,3390.0
"design",0.5149548,3390.0
"dev",0.57192653,3390.0
"study",0.6399587,4019.0
"gaming",0.51431465,4019.0
"design",0.53587204,4019.0
"dev",0.59449005,4019.0
"study",0.66011524,6579.0
"gaming",0.5380769,6579.0
"design",0.586079,6579.0
"dev",0.6436303,6579.0
"study",0.56223804,2879.0
"gaming",0.4793082,2879.0
"design",0.4677172,2879.0
"dev",0.53336525,2879.0
"study",0.6170383,2890.0
"gaming",0.5272908,2890.0
"design",0.5576045,2890.0
"dev",0.6122432,2890.0
"study",0.5259883,1899.0
"gaming",0.42605442,1899.0
"design",0.4116597,1899.0
"dev",0.48249674,1899.0
"study",0.60162866,2790.0
"gaming",0.49732628,2790.0
"design",0.51078343,2790.0
"dev",0.57013583,2790.0
"study",0.5774071,2299.0
"gaming",0.4787174,2299.0
"design",0.48072374,2299.0
"dev",0.5356127,2299.0
"study",0.60162866,2990.0
"gaming",0.5033633,2990.0
"design",0.51374894,2990.0
"dev",0.5709398,2990.0
"study",0.6294677,4599.0
"gaming",0.50824887,4599.0
"design",0.5286849,4599.0
"dev",0.5919878,4599.0
"study",0.63754654,5049.0
"gaming",0.5216576,5049.0
"design",0.5501888,5049.0
"dev",0.6019739,5049.0
"study",0.5992316,2739.0
"gaming",0.5032443,2739.0
"design",0.51284015,2739.0
"dev",0.569817,2739.0
